BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t2007,12641.402075489616,6.618081506201652e-6,-2484.4020821560543,0.0,0.0,4.870031203249538e-8,-3.4288911314593616e-10,0.0,0.0,-10157.0
t2008,12975.509638270581,6.666782899223844e-6,-2896.509644985731,0.0,0.0,4.8704098222399084e-8,-3.4276960866436156e-10,0.0,0.0,-10079.0
t2009,12605.603672933426,6.7164790603858504e-6,-2384.603679698274,0.0,0.0,4.8707889594926597e-8,-3.42649951586954e-10,0.0,0.0,-10221.0
t2010,9212.3453718829,1294.6546326201703,-4.5548140165094116e-6,0.0,0.0,5.1991031616656786e-8,-2.429977683886074e-10,0.0,0.0,-10507.0
t2011,7985.185832315815,2759.8141722860955,-4.653668878998611e-6,0.0,0.0,5.199950781535054e-8,-2.4275039409147994e-10,0.0,0.0,-10745.0
t2012,8348.189517476349,2842.8104871838173,-4.711932070651796e-6,0.0,0.0,5.2007996753718726e-8,-2.4250269738904066e-10,0.0,0.0,-11191.0
t2013,8056.237014846365,2908.7629894680313,-4.366286811270018e-6,0.0,0.0,5.212766290469185e-8,-2.390162337660822e-10,0.0,0.0,-10965.0
t2014,7292.237274340328,2908.762730196831,-4.588987153846916e-6,0.0,0.0,5.2067777148165675e-8,-2.407597760279007e-10,0.0,0.0,-10201.0
t2015,7338.838418799415,1942.1615858870828,-4.738291618507963e-6,0.0,0.0,5.203353991157521e-8,-2.417576766334171e-10,0.0,0.0,-9281.0
t2016,5517.237331474045,2908.76267310712,-4.63299360854511e-6,0.0,0.0,5.2067777116169244e-8,-2.4075977638553775e-10,0.0,0.0,-8426.0
t2017,4920.237397218405,2908.762607383214,-4.65344589622292e-6,0.0,0.0,5.206777712246571e-8,-2.4075977595028653e-10,0.0,0.0,-7829.0
t2018,4601.237589513924,2908.7624151072464,-4.672996823754877e-6,0.0,0.0,5.206777707785387e-8,-2.407597770990894e-10,0.0,0.0,-7510.0
t2019,4527.324723213033,2850.675281426937,-4.691797553608929e-6,0.0,0.0,5.206777719805433e-8,-2.407597735307724e-10,0.0,0.0,-7378.0
t2020,4751.185914002359,2637.8140906235913,-4.67778605498863e-6,0.0,0.0,5.207636880680298e-8,-2.405094827543821e-10,0.0,0.0,-7389.0
t2021,4624.922996926819,3027.0770073151716,-4.293947397332603e-6,0.0,0.0,5.219559430006436e-8,-2.370414089542629e-10,0.0,0.0,-7652.0
t2022,5059.417579980793,3437.5824242622257,-4.29497820823478e-6,0.0,0.0,5.219559435979654e-8,-2.370414075811829e-10,0.0,0.0,-8497.0
