BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t1274,32850.81465015678,10952.185362074188,-1.2283057804475783e-5,0.0,0.0,5.23193841090752e-8,-2.334508149388316e-10,0.0,0.0,-43803.0
t1275,32745.895556325413,9444.10445556112,-1.1938627514326146e-5,0.0,0.0,5.2328355747406826e-8,-2.331909917952782e-10,0.0,0.0,-42190.0
t1276,32438.632494939782,8939.36751662199,-1.1613879309769419e-5,0.0,0.0,5.2337340985951165e-8,-2.3293082951900183e-10,0.0,0.0,-41378.0
t1277,32090.1512178821,9171.848793372954,-1.130716829630711e-5,0.0,0.0,5.2346339846934615e-8,-2.3267032769961884e-10,0.0,0.0,-41262.0
t1278,31402.55643963383,10762.443571331065,-1.101702755507947e-5,0.0,0.0,5.2355352364295716e-8,-2.324094855941778e-10,0.0,0.0,-42165.0
t1279,31752.911282589226,13778.08872062249,-3.2648437374657023e-6,0.0,0.0,5.3323866654129775e-8,-2.0469620820506225e-10,0.0,0.0,-45531.0
t1280,32279.38030912097,19228.619694085,-3.259086092961816e-6,0.0,0.0,5.332386665128968e-8,-2.046962083570909e-10,0.0,0.0,-51508.0
t1281,32082.65700657313,21219.342996083702,-2.7099456678909366e-6,0.0,0.0,5.332386664720667e-8,-2.0469620849098767e-10,0.0,0.0,-53302.0
t1282,48217.066790359895,4586.933212361378,-2.7731694428303666e-6,0.0,0.0,5.2123706141049154e-8,-2.3913135929760407e-10,0.0,0.0,-52804.0
t1283,73095.17053581326,2.5989994790910987e-6,-19800.17053846072,0.0,0.0,4.879060510402756e-8,-3.4004214064165937e-10,0.0,0.0,-53295.0
t1284,93669.13800352903,5.781699946810507e-6,-39285.138009359165,0.0,0.0,4.8778907433013403e-8,-3.404106235472839e-10,0.0,0.0,-54384.0
t1285,110298.49396732557,5.828004276564668e-6,-55156.493973202014,0.0,0.0,4.878280131826743e-8,-3.402879525574207e-10,0.0,0.0,-55142.0
t1286,111642.0134948826,5.87525352381869e-6,-55762.01350080629,0.0,0.0,4.8786700543071054e-8,-3.401651248810869e-10,0.0,0.0,-55880.0
t1287,100228.96116290064,5.923474416077158e-6,-43478.96116887257,0.0,0.0,4.879060511368228e-8,-3.4004214036842636e-10,0.0,0.0,-56750.0
t1288,94536.78559158127,5.9435540189383075e-6,-37637.78559757328,0.0,0.0,4.879451504155158e-8,-3.399189986977929e-10,0.0,0.0,-56899.0
t1289,85506.2854350487,5.9540330049226755e-6,-28704.28544105119,0.0,0.0,4.879843033276927e-8,-3.397956997277244e-10,0.0,0.0,-56802.0
t1290,66725.06163446735,5.943936681494244e-6,-10323.061640459757,0.0,0.0,4.880235099570765e-8,-3.3967224324042393e-10,0.0,0.0,-56402.0
t1291,52755.832509151085,3023.167496503764,-5.706818264557892e-6,0.0,0.0,5.2202262222611115e-8,-2.368477394131949e-10,0.0,0.0,-55779.0
t1292,33295.54355314822,24389.45644990476,-3.1064659245342612e-6,0.0,0.0,5.368029737658058e-8,-1.9465349642027253e-10,0.0,0.0,-57685.0
t1293,31313.5486187287,27342.451384323456,-3.1056322823997085e-6,0.0,0.0,5.36802973763376e-8,-1.9465349643518548e-10,0.0,0.0,-58656.0
t1294,33054.08145190438,24465.91855114622,-3.1040779503324913e-6,0.0,0.0,5.3680297372512636e-8,-1.9465349653301425e-10,0.0,0.0,-57520.0
t1295,33063.449228750644,21827.550774297342,-3.1014585158637875e-6,0.0,0.0,5.3680297364632285e-8,-1.946534967306449e-10,0.0,0.0,-54891.0
t1296,32225.970029904795,18884.02997313901,-3.0972953080394543e-6,0.0,0.0,5.368029735366205e-8,-1.9465349700044923e-10,0.0,0.0,-51110.0
t1297,34725.29274006362,12218.707262973856,-3.0909547390261775e-6,0.0,0.0,5.368029734152359e-8,-1.9465349729207e-10,0.0,0.0,-46944.0
t1298,36537.02065828354,9493.69640747004,-1953.717065805674,0.0,0.0,5.232194738439725e-8,-2.3337657563912924e-10,0.0,0.0,-44077.0
t1299,36012.42518652598,8541.352760371183,-1876.7779469492496,0.0,0.0,5.232194737462659e-8,-2.3337657590135025e-10,0.0,0.0,-42677.0
t1300,34431.14455103281,7470.37670918332,-101.52126026822374,0.0,0.0,5.232194739632363e-8,-2.333765752592577e-10,0.0,0.0,-41800.0
t1301,33085.9318908314,8420.068112178762,-3.0636411387383787e-6,0.0,0.0,5.368029729915264e-8,-1.9465349840225166e-10,0.0,0.0,-41506.0
t1302,34112.640170386614,8112.359832598673,-3.0387741708671014e-6,0.0,0.0,5.368029729713615e-8,-1.9465349847040594e-10,0.0,0.0,-42225.0
t1303,37340.77587408601,8303.224128868933,-3.008421793321417e-6,0.0,0.0,5.3680297300383374e-8,-1.946534984293278e-10,0.0,0.0,-45644.0
t1304,38300.03616280017,13726.96384011909,-2.9727462747657206e-6,0.0,0.0,5.3680297304968515e-8,-1.9465349837648891e-10,0.0,0.0,-52027.0
t1305,41296.53183151437,12906.468169884474,-1.4523289473512827e-6,0.0,0.0,5.3680297306614644e-8,-1.9465349835206426e-10,0.0,0.0,-54203.0
t1306,58781.57695776363,2.9771500611757416e-6,-4559.576960787578,0.0,0.0,4.719781678201351e-8,-3.911875486825637e-10,0.0,0.0,-54222.0
t1307,89489.34267034472,2.5963938571675832e-5,-34999.34269635547,0.0,0.0,4.7199593666119784e-8,-3.9112938245386696e-10,0.0,0.0,-54490.0
t1308,108649.0650038957,8.317176230692955e-6,-53790.06501225897,0.0,0.0,4.652770194713658e-8,-4.13304742092903e-10,0.0,0.0,-54859.0
t1309,111552.45382085971,1.9267464337875323e-5,-57422.45384017328,0.0,0.0,4.652770194723575e-8,-4.133047420831173e-10,0.0,0.0,-54130.0
t1310,116080.35354801132,1.9265276885743723e-5,-63023.353567322716,0.0,0.0,4.652770194555175e-8,-4.133047421292848e-10,0.0,0.0,-53057.0
t1311,114914.07147422357,1.9263033134923704e-5,-62540.07149353271,0.0,0.0,4.6527701945044975e-8,-4.1330474213965665e-10,0.0,0.0,-52374.0
t1312,113819.84497562882,1.926034999073742e-5,-62262.84499493528,0.0,0.0,4.652770194421564e-8,-4.1330474215926e-10,0.0,0.0,-51557.0
t1313,111478.839301293,1.9254453803081825e-5,-60611.83932059356,0.0,0.0,4.6527701944051696e-8,-4.13304742157765e-10,0.0,0.0,-50867.0
t1314,105956.1155874584,1.922551868738194e-5,-55231.11560673002,0.0,0.0,4.652770194335942e-8,-4.133047421793486e-10,0.0,0.0,-50725.0
t1315,89699.77756534166,3.432267105290097e-5,-38731.7775997112,0.0,0.0,4.724044525093506e-8,-3.897928021651282e-10,0.0,0.0,-50968.0
t1316,54725.84829236158,1.5340982186077765e-5,-1009.8483077494035,0.0,0.0,4.724227785267921e-8,-3.897328744059472e-10,0.0,0.0,-53716.0
t1317,32686.185974642747,22788.814028291847,-2.9879353176251403e-6,0.0,0.0,5.3532305922640406e-8,-1.9881318685860515e-10,0.0,0.0,-55475.0
t1318,33224.55857196769,22008.44143096687,-2.9878931865824794e-6,0.0,0.0,5.353230592279823e-8,-1.9881318685193707e-10,0.0,0.0,-55233.0
t1319,34041.428665181586,20195.571337752826,-2.9877416367970348e-6,0.0,0.0,5.3532305921977655e-8,-1.9881318686567682e-10,0.0,0.0,-54237.0
