Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
t940,25135.621808368578,0.0,2.3513741139089545e-6,1.4896138471372073e-6,6837.101782186132,8648.100078866248,5.186984744466511e-6,0.0,0.0,0.0,0.0
t941,25135.62180835472,0.0,2.3437056571977654e-6,1.4869745965665008e-6,6837.101781998323,8648.100078787897,5.185633503803039e-6,0.0,0.0,0.0,0.0
t942,25135.621808324617,0.0,2.329535917785245e-6,1.481304755340233e-6,6837.1017816557505,8648.100078647249,5.183365791384929e-6,0.0,0.0,0.0,0.0
t943,25135.62180827169,0.0,2.308018171454391e-6,1.4717927855419328e-6,6837.101781083617,8648.100078426662,5.180155650902283e-6,0.0,0.0,0.0,0.0
t944,25135.62180818548,0.0,2.2779452052105866e-6,1.4570599536207886e-6,6837.101780083457,8648.100078090218,5.175966903823709e-6,0.0,0.0,0.0,0.0
t945,25135.621808047414,0.0,2.2375956618405114e-6,1.4349196435703804e-6,6837.101777846019,8648.100077554069,5.170755745999682e-6,0.0,0.0,0.0,0.0
t946,25135.621807816347,0.0,2.1844198397114097e-6,1.4018917600851377e-6,6751.945126856154,8648.100076544495,5.164507778205068e-6,0.0,0.0,0.0,0.0
t947,25135.62180747478,0.0,2.1246566693491737e-6,1.3620712095563697e-6,6657.948310719461,8648.100075127586,5.157923792256396e-6,0.0,0.0,0.0,0.0
t948,25135.621807222127,0.0,2.0829828894018636e-6,1.3369925286204653e-6,6657.948309130929,8648.100074485885,5.152738242631302e-6,0.0,0.0,0.0,0.0
t949,25135.621807034677,0.0,2.0556233060960733e-6,1.3219197721070389e-6,6657.9483084693775,8648.100074131433,5.149000148086154e-6,0.0,0.0,0.0,0.0
t950,25135.62180691323,0.0,2.04027032779669e-6,1.3140299817358009e-6,6657.948308141844,8648.100073945963,5.146680523493396e-6,0.0,0.0,0.0,0.0
t951,25135.621806877494,0.0,2.035747256450285e-6,1.3118388835353862e-6,6657.948308011145,8648.100073893043,5.145752243653253e-6,0.0,0.0,0.0,0.0
t952,25135.621806928903,0.0,2.0416759831207468e-6,1.3149060110627323e-6,6657.948308037921,8648.10007396245,5.1462022427221365e-6,0.0,0.0,0.0,0.0
t953,25135.62180706125,0.0,2.05842071421614e-6,1.323751303823509e-6,6657.948308229317,8648.10007416559,5.14803331511788e-6,0.0,0.0,0.0,0.0
t954,25135.62180725693,0.0,2.0871818517140297e-6,1.3399525341276896e-6,6657.948308646652,8648.100074544682,5.1512634056182665e-6,0.0,0.0,0.0,0.0
t955,25135.621807516833,0.0,2.1302952883054655e-6,1.3664593258660182e-6,6657.948309497494,8648.10007523313,5.155912298461475e-6,0.0,0.0,0.0,0.0
t956,25135.621807870164,0.0,2.191785651579056e-6,1.408413001803188e-6,6657.948311954379,8648.100076827985,5.1619148376943815e-6,0.0,0.0,0.0,0.0
t957,25135.621808064596,0.0,2.238699365441211e-6,1.4364234430606918e-6,6657.948313115513,8648.10007755097,5.167033505272427e-6,0.0,0.0,0.0,0.0
t958,25135.621808184584,0.0,2.274351305078612e-6,1.4552388346296893e-6,6657.948313811658,8648.100077987629,5.171169454164174e-6,0.0,0.0,0.0,0.0
t959,25135.621808260286,0.0,2.3008883458811203e-6,1.467745885103926e-6,6657.948314259408,8648.100078275153,5.174355397965613e-6,0.0,0.0,0.0,0.0
t960,25135.62180830678,0.0,2.31981498133008e-6,1.4757978117215763e-6,6657.948314544573,8648.100078466658,5.176627616780035e-6,0.0,0.0,0.0,0.0
