BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t1082,39505.11960546297,4595.880398093673,-3.6092296020250676e-6,0.0,0.0,5.2800209646958504e-8,-2.1960244966471059e-10,0.0,0.0,-44101.0
t1083,39683.29799883551,3126.7020046977777,-3.585874821101954e-6,0.0,0.0,5.2809914544656856e-8,-2.193245355485092e-10,0.0,0.0,-42810.0
t1084,39915.70459857618,2136.2954049340765,-3.562848852795265e-6,0.0,0.0,5.2819634343815486e-8,-2.1904625779571664e-10,0.0,0.0,-42052.0
t1085,38211.389537083785,3793.610466427499,-3.5638801948536625e-6,0.0,0.0,5.281963435062073e-8,-2.1904625760015992e-10,0.0,0.0,-42005.0
t1086,36615.530888497495,6378.469115014822,-3.5649153675237348e-6,0.0,0.0,5.2819634351735436e-8,-2.190462575835845e-10,0.0,0.0,-42994.0
t1087,35904.75403889538,10550.24596461798,-3.5659543761326165e-6,0.0,0.0,5.281963435386652e-8,-2.190462575711055e-10,0.0,0.0,-46455.0
t1088,36631.02466166728,16395.975341847112,-3.56699724020637e-6,0.0,0.0,5.2819634357067495e-8,-2.1904625755418373e-10,0.0,0.0,-53027.0
t1089,34655.56856715082,20362.431436364615,-3.568043978281804e-6,0.0,0.0,5.2819634359023804e-8,-2.1904625751729204e-10,0.0,0.0,-55018.0
t1090,37018.54752091006,17370.452482196335,-3.158991038980781e-6,0.0,0.0,5.28196343573265e-8,-2.1904625755999397e-10,0.0,0.0,-54389.0
t1091,54599.999987212206,1.5743183513815175e-5,-3.0072210681797908e-6,0.0,0.0,5.2067777215273634e-8,-2.4075977629066613e-10,0.0,0.0,-54600.0
t1092,75323.18251802906,2.6936121853289084e-6,-20024.182520771446,0.0,0.0,4.9124315558971225e-8,-3.295736527849402e-10,0.0,0.0,-55299.0
t1093,89070.80585429931,5.326347941701406e-6,-33660.80585967445,0.0,0.0,4.911995183486276e-8,-3.297100014122467e-10,0.0,0.0,-55410.0
t1094,94680.43809560552,5.370271867002751e-6,-39537.43810102457,0.0,0.0,4.912431555973842e-8,-3.2957365275958346e-10,0.0,0.0,-55143.0
t1095,100927.5562757616,5.368075950612449e-6,-45845.55628117845,0.0,0.0,4.9124315560242085e-8,-3.295736527433034e-10,0.0,0.0,-55082.0
t1096,99446.91218139787,5.3655742536184e-6,-44731.91218681221,0.0,0.0,4.912431556002485e-8,-3.2957365274679235e-10,0.0,0.0,-54715.0
t1097,99466.04376574233,5.36247301182637e-6,-45032.043771153585,0.0,0.0,4.912431555969681e-8,-3.2957365275448425e-10,0.0,0.0,-54434.0
t1098,89054.16835825016,5.358292936837334e-6,-34769.16836365723,0.0,0.0,4.9124315560326246e-8,-3.295736527334508e-10,0.0,0.0,-54285.0
t1099,66796.03091144541,5.449187932278871e-6,-12664.030916943386,0.0,0.0,4.915456640761652e-8,-3.2862882966869534e-10,0.0,0.0,-54132.0
t1100,40380.499379655674,16135.500623719496,-3.428070179257176e-6,0.0,0.0,5.3105245588048706e-8,-2.1089730423488144e-10,0.0,0.0,-56516.0
t1101,36907.233954697535,20369.766048678583,-3.4290044998331408e-6,0.0,0.0,5.3105245589463e-8,-2.108973042012613e-10,0.0,0.0,-57277.0
t1102,36913.04412206019,19306.95588131685,-3.429933437258574e-6,0.0,0.0,5.310524558925152e-8,-2.108973041980628e-10,0.0,0.0,-56220.0
t1103,36589.611606068465,17356.388397309507,-3.430854128553525e-6,0.0,0.0,5.3105245588407636e-8,-2.1089730420101317e-10,0.0,0.0,-53946.0
t1104,35940.809850546466,14050.190152832412,-3.431763218715208e-6,0.0,0.0,5.3105245586205854e-8,-2.108973042224532e-10,0.0,0.0,-49991.0
t1105,35996.97477904557,10025.025224478632,-3.577022704924032e-6,0.0,0.0,5.304452390580956e-8,-2.1262525557451876e-10,0.0,0.0,-46022.0
t1106,36436.61059660754,7036.389406892731,-3.5531131862234766e-6,0.0,0.0,5.305460513432854e-8,-2.123382057233961e-10,0.0,0.0,-43473.0
t1107,36142.22890449651,6112.7710989802,-3.5295514356237557e-6,0.0,0.0,5.306470194849632e-8,-2.1205077966067045e-10,0.0,0.0,-42255.0
t1108,36423.05354558841,5421.946457865047,-3.506329665863146e-6,0.0,0.0,5.3074814373749626e-8,-2.1176297694919566e-10,0.0,0.0,-41845.0
t1109,36031.83577018169,6184.164233248871,-3.4834403139901946e-6,0.0,0.0,5.308494243885234e-8,-2.1147479706349642e-10,0.0,0.0,-42216.0
t1110,35925.31607882863,7534.683924579349,-3.4608760414533583e-6,0.0,0.0,5.3095086172213664e-8,-2.111862394896855e-10,0.0,0.0,-43460.0
t1111,36115.114801484764,11211.885201900974,-3.4386297619902695e-6,0.0,0.0,5.310524558652704e-8,-2.1089730418171158e-10,0.0,0.0,-47327.0
t1112,36882.05657893021,17712.94342445652,-3.4396251948538327e-6,0.0,0.0,5.310524559007387e-8,-2.1089730415981436e-10,0.0,0.0,-54595.0
t1113,37883.341677163255,19001.658326224486,-3.4406243117182555e-6,0.0,0.0,5.310524559103412e-8,-2.1089730415320593e-10,0.0,0.0,-56885.0
t1114,47562.25086985895,8750.749132373458,-2.2852927644923933e-6,0.0,0.0,5.310524558884541e-8,-2.1089730421043432e-10,0.0,0.0,-56313.0
t1115,66322.05265687,2.4033326296747643e-6,-9824.052659322262,0.0,0.0,4.924770733460367e-8,-3.257240701514794e-10,0.0,0.0,-56498.0
t1116,75519.85643577631,5.200139993353585e-6,-18921.856441025393,0.0,0.0,4.924770733299893e-8,-3.257240702023178e-10,0.0,0.0,-56598.0
t1117,80921.62144025846,5.067103003080508e-6,-24918.62144537448,0.0,0.0,4.923412220882538e-8,-3.2614734113548214e-10,0.0,0.0,-56003.0
t1118,85559.21427111026,5.107937369125991e-6,-30522.214276267117,0.0,0.0,4.9238644296816386e-8,-3.2600643136599295e-10,0.0,0.0,-55037.0
t1119,90513.88386462873,5.149608752897491e-6,-36383.883869827245,0.0,0.0,4.924317266951152e-8,-3.2586534108765954e-10,0.0,0.0,-54130.0
t1120,87053.38642295313,5.192140937750724e-6,-33747.386428194186,0.0,0.0,4.9247707335110945e-8,-3.2572407010692594e-10,0.0,0.0,-53306.0
t1121,86143.66105793187,5.209857717299517e-6,-33298.66106319066,0.0,0.0,4.925224830357688e-8,-3.255826181780724e-10,0.0,0.0,-52845.0
t1122,76611.28202712043,5.219108206851329e-6,-23638.28203238845,0.0,0.0,4.9256795585055265e-8,-3.254409850494344e-10,0.0,0.0,-52973.0
t1123,57321.4609818272,5.210215033075411e-6,-3336.4609870863487,0.0,0.0,4.926134918916245e-8,-3.2529917048635447e-10,0.0,0.0,-53985.0
t1124,41576.18143288045,15978.81857039159,-3.325191158525271e-6,0.0,0.0,5.335886013805222e-8,-2.037065563162452e-10,0.0,0.0,-57555.0
