Segment,1,2,3,4,Total
t100,-1.843003263533657e-10,9.384125416460392e-10,8.240645554148661e-9,4.4871797289975103e-8,5.386655505941644e-8
t101,-1.3692797863254832e-10,9.972739684537615e-10,8.404918309077714e-9,4.638574168675118e-8,5.5651005985650106e-8
t102,-1.3692797856541708e-10,9.97273968539348e-10,8.404918309321571e-9,4.638574168971992e-8,5.565100598901542e-8
t103,-1.3692797854471252e-10,9.972739685698927e-10,8.404918309416462e-9,4.638574169214464e-8,5.565100599158628e-8
t104,-1.3692797852350412e-10,9.97273968602292e-10,8.40491830951896e-9,4.638574169503579e-8,5.565100599463354e-8
t105,-1.36927978497706e-10,9.97273968635867e-10,8.40491830961591e-9,4.6385741696424854e-8,5.5651005996178924e-8
t106,-1.369279785688737e-10,9.972739685457531e-10,8.40491830936033e-9,4.6385741693503285e-8,5.5651005992840495e-8
t107,-3.4024727593376237e-10,7.451024738282074e-10,7.709354446051405e-9,4.032963565792583e-8,4.844384530187168e-8
t108,-3.406149692644192e-10,7.446475140524827e-10,7.708118653932422e-9,4.03196556306242e-8,4.8431806829344687e-8
t109,-3.4049256119863424e-10,7.447989733855558e-10,7.708530050350766e-9,4.0322977706266195e-8,4.8435814168803884e-8
t110,-3.403699968225992e-10,7.449506265584736e-10,7.708941980811762e-9,4.032630437925286e-8,4.8439826989800496e-8
t111,-3.4024727593622287e-10,7.451024738207404e-10,7.709354446022783e-9,4.032963565651588e-8,4.844384530042318e-8
t112,-3.402472758887828e-10,7.451024738786824e-10,7.709354446178743e-9,4.0329635657573525e-8,4.844384530174217e-8
t113,-3.399979283724264e-10,7.454110024658516e-10,7.710192530719127e-9,4.033640533216047e-8,4.845201093697302e-8
t114,-3.398747323039091e-10,7.455634390101601e-10,7.7106066196202e-9,4.033975059408731e-8,4.8456045920413766e-8
t115,-2.3726608116916516e-10,8.726780546228169e-10,8.058580636947202e-9,4.325660182204729e-8,5.195059443244814e-8
t116,-2.0650188214317866e-10,9.108488653213518e-10,8.16412484518758e-9,4.4185118687092917e-8,5.305359051545867e-8
t117,-2.0650188213516436e-10,9.108488653313613e-10,8.164124845215437e-9,4.4185118687359646e-8,5.305359051577128e-8
t118,-2.0650188212981015e-10,9.108488653374363e-10,8.164124845231177e-9,4.418511868732858e-8,5.3053590515767376e-8
t119,-2.0650188213682663e-10,9.108488653268258e-10,8.164124845198123e-9,4.41851186864654e-8,5.305359051485352e-8
t120,-2.065018821556962e-10,9.108488652999857e-10,8.164124845117145e-9,4.4185118684719285e-8,5.305359051298072e-8
t121,-2.0650188224577208e-10,9.108488651842623e-10,8.16412484478888e-9,4.418511868062344e-8,5.305359050835081e-8
t122,-2.407597761897848e-10,8.683449669743717e-10,8.046630379334011e-9,4.315280186905213e-8,5.182701743917073e-8
t123,-2.4075977633822493e-10,8.683449667886631e-10,8.046630378818886e-9,4.3152801864114454e-8,5.182701743338378e-8
t124,-2.4075977630253963e-10,8.683449668322416e-10,8.046630378937735e-9,4.31528018649479e-8,5.182701743441534e-8
t125,-2.407597762434081e-10,8.683449669058539e-10,8.046630379141233e-9,4.315280186679409e-8,5.1827017436597766e-8
t126,-2.0650188218166297e-10,9.108488652606158e-10,8.164124844994292e-9,4.418511868148642e-8,5.3053590509559663e-8
t127,-2.0650188214754682e-10,9.108488653075277e-10,8.164124845133096e-9,4.4185118684090615e-8,5.305359051238369e-8
t128,-2.0650188213056314e-10,9.108488653348643e-10,8.164124845220905e-9,4.4185118686747274e-8,5.305359051517248e-8
t129,-2.065018821239706e-10,9.108488653448863e-10,8.164124845252217e-9,4.4185118687576883e-8,5.305359051605002e-8
t130,-2.0650188221092904e-10,9.108488652355713e-10,8.164124844946599e-9,4.418511868444266e-8,5.3053590512413906e-8
t131,-3.8683606468326766e-10,6.874875165932757e-10,7.553394560806472e-9,3.9090078451014994e-8,4.6944124463731474e-8
t132,-3.867723984198445e-10,6.875662081658028e-10,7.553606836987143e-9,3.9091738710176947e-8,4.694613935691005e-8
t133,-4.1330474192108513e-10,6.547822895765849e-10,7.46534337465701e-9,3.840757628760046e-8,4.611439720991297e-8
t134,-4.133047419808271e-10,6.547822895022182e-10,7.465343374456121e-9,3.8407576285914124e-8,4.6114397207891633e-8
t135,-4.133047420300095e-10,6.547822894413063e-10,7.465343374292148e-9,3.8407576284614055e-8,4.61143972063175e-8
t136,-4.133047420319291e-10,6.547822894386688e-10,7.465343374284576e-9,3.84075762844893e-8,4.611439720618062e-8
t137,-4.13304741964113e-10,6.547822895220467e-10,7.465343374507868e-9,3.840757628610584e-8,4.6114397208171644e-8
t138,-4.1330474190266175e-10,6.547822895975123e-10,7.465343374709833e-9,3.840757628754741e-8,4.6114397209952094e-8
t139,-3.7436153665740417e-10,7.029082721403059e-10,7.59503155728974e-9,3.941711731226113e-8,4.734069560503377e-8
t140,-3.06589866857423e-10,7.867644475181401e-10,7.822807694417738e-9,4.1256923151641015e-8,4.955990542671947e-8
t141,-3.06589866851484e-10,7.867644475247815e-10,7.822807694434519e-9,4.12569231515838e-8,4.955990542669162e-8
t142,-3.0658986685096416e-10,7.86764447524145e-10,7.822807694430358e-9,4.125692315119796e-8,4.955990542630149e-8
t143,-3.065898668522825e-10,7.867644475208261e-10,7.822807694418099e-9,4.1256923150634244e-8,4.9559905425720885e-8
t144,-3.0658986685931005e-10,7.8676444750975e-10,7.822807694383362e-9,4.125692314969574e-8,4.955990542472954e-8
t145,-3.0658986688488436e-10,7.867644474744975e-10,7.822807694280319e-9,4.125692314785916e-8,4.955990542272909e-8
t146,-3.0658987549367476e-10,7.86764436811135e-10,7.822807665163144e-9,4.1256922906207203e-8,4.9559905132687805e-8
t147,-3.07202663484586e-10,7.860056210139646e-10,7.820736158720706e-9,4.1239793415784665e-8,4.953933253203475e-8
