BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t17,11597.25568844894,3.662587422165849e-5,-504.25572513398913,0.0,0.0,5.922080024614752e-8,-4.862774684935236e-11,0.0,0.0,-11093.0
t18,10781.994625267911,1245.0053751277,-4.770068235929719e-7,0.0,0.0,8.10134542143202e-8,3.8398814089884694e-10,0.0,0.0,-12027.0
t19,11150.609353592416,805.3906468021852,-4.760721931083268e-7,0.0,0.0,8.108382714360202e-8,3.851035794724123e-10,0.0,0.0,-11956.0
t20,10938.482007530609,652.5180593417335,-6.693164060671534e-5,0.0,0.0,5.934417633164156e-8,-4.5578844043401486e-11,0.0,0.0,-11591.0
t21,11976.51499153076,9.824110027799206e-5,-814.5150898311124,0.0,0.0,5.930290181901001e-8,-4.65979023398801e-11,0.0,0.0,-11162.0
t22,12287.751011038783,0.00019535108759396606,-1722.7512064491493,0.0,0.0,5.932352019444231e-8,-4.608872259190663e-11,0.0,0.0,-10565.0
t23,12819.808117033506,100.43551025513102,-3095.2436273479357,0.0,0.0,5.934417593566868e-8,-4.557885335881507e-11,0.0,0.0,-9825.0
t24,13697.982459437579,2.369178033780087e-6,-4702.982461861614,0.0,0.0,5.501732442806591e-8,-1.5771062171947434e-10,0.0,0.0,-8995.0
t25,13534.90673651096,1.7911789660146296e-6,-5241.906738353965,0.0,0.0,5.206777714554305e-8,-2.407597754767737e-10,0.0,0.0,-8293.0
t26,12876.401611252992,2.977291895430616e-6,-5008.401614282112,0.0,0.0,5.2067777154066093e-8,-2.407597750472252e-10,0.0,0.0,-7868.0
t27,12947.695411347151,2.9773171400422515e-6,-5283.695414376297,0.0,0.0,5.206777710813864e-8,-2.407597762911899e-10,0.0,0.0,-7664.0
t28,12902.594657796626,2.9773390772760366e-6,-5285.594660825794,0.0,0.0,5.2067777104932346e-8,-2.4075977636220396e-10,0.0,0.0,-7617.0
t29,13066.629710652827,2.9773575899879935e-6,-5281.629713682013,0.0,0.0,5.206777711148679e-8,-2.407597762500689e-10,0.0,0.0,-7785.0
t30,12889.018136996892,23.96432438373771,-4702.98246143549,0.0,0.0,5.501732410495311e-8,-1.5771063020748417e-10,0.0,0.0,-8210.0
t31,13004.892854364314,546.0896070185952,-4702.982461437764,0.0,0.0,5.50173244326564e-8,-1.5771062154190906e-10,0.0,0.0,-8848.0
t32,13501.777961942293,573.2044994428609,-4702.982461440011,0.0,0.0,5.501732444924133e-8,-1.577106212708703e-10,0.0,0.0,-9372.0
t33,14148.643836287274,567.3386251000617,-4702.982461442195,0.0,0.0,5.5017324450804196e-8,-1.5771062142313523e-10,0.0,0.0,-10013.0
t34,14895.521792804822,478.46066808444914,-4702.982460944133,0.0,0.0,5.501732442584411e-8,-1.5771062227785062e-10,0.0,0.0,-10671.0
t35,16173.610869988614,2.1831280516138017e-6,-5020.610872223569,0.0,0.0,5.2067777182132345e-8,-2.407597752710996e-10,0.0,0.0,-11153.0
